listing_id,creation_date,loan_paid_date,first_installement_date,loan_paid_status,confirm_status,username,listing_title,listing_category,credit_score,job_loss_insurance,loan_amount,loan_period,effective_rate,preferred_rate,amount_outstanding,monthly_installment,principal_repaid,interest_paid,arrears,loan_status,type,gender,post_town,age,education,employment_status,occupation,employ_how_long,years_working_in_total,dependants,marital_status,credit_check_date,monthly_income,monthly_expenses,available_income,dti,outstanding_debts,last_debt_date
32317,2019-08-27,2019-08-29,2019-09-29,1,1,adele,"""32317-Namų remontui",Home Improvements,A,0,2115,36,0.12,0.12,2115.0,76.21,0.0,0.0,0.0,ok,FR,Female,Vilnius,60,Post graduate,Employed,Vaistininkė / Pharmacist,72 or more,38,0,Married,2019-08-27 00:00:00,1701,529,1172,0.3558,0,2014-02-26 00:00:00
32310,2019-08-27,2019-08-29,2019-09-29,1,1,Ernestule,"""32310-Vartojimui",Other Purposes,D,0,1700,36,0.26,0.26,1700.0,77.48,0.0,0.0,0.0,ok,FR,Female,Šilalė,44,High school,Employed,Virėja / Cook,48,9,1,Divorced,2019-08-27 00:00:00,436,9,427,0.1983,0,2019-03-01 00:00:00
32308,2019-08-27,2019-08-29,2019-09-29,1,1,mimute,"""32308-Vartojimui",Other Purposes,C,0,555,24,0.2,0.2,555.0,30.41,0.0,0.0,0.0,ok,FR,Female,Panevėžio r.,55,High school,Employed,Melžimo operatorė / Milking Operator,72 or more,28,3,Married,2019-08-27 00:00:00,712,233,479,0.37,0,2016-10-19 00:00:00
32299,2019-08-27,2019-09-02,2019-10-02,1,1,Kaspa94,"""32299-Refinansavimas",Consolidation of Other Loans,D,0,4100,42,0.27,0.27,4100.0,174.44,0.0,0.0,0.0,ok,FR,Male,Kaunas,25,Graduate,Employed,Virtuvės šefas / Kitchen chef,9,6,0,Single,2019-08-27 00:00:00,471,13,458,0.398,0,2019-07-03 00:00:00
32295,2019-08-27,2019-08-28,2019-09-28,1,1,Ieva78,"""32295-Vartojimui",Other Purposes,A,0,1745,36,0.12,0.12,1745.0,62.88,0.0,0.0,0.0,ok,FR,Female,Vilnius,40,Post graduate,Employed,Vadybininkas / Manager,60,20,0,Divorced,2019-08-27 00:00:00,785,0,785,0.0801,0,-
32285,2019-08-27,2019-08-28,2019-09-28,1,1,antanas75,"""32285-Vartojimui",Other Purposes,A,0,2110,25,0.12,0.12,2110.0,101.59,0.0,0.0,0.0,ok,FR,Male,Šilutės r.,44,Vocational education,Employed,Darbininkas / Worker,48,22,4,Married,2019-08-27 00:00:00,508,0,508,0.2,0,-
32280,2019-08-27,2019-08-30,2019-09-30,1,1,geka,"""32280-Namų remontui",Home Improvements,B,0,1000,12,0.13,0.13,1000.0,92.56,0.0,0.0,0.0,ok,FR,Male,Klaipėda,24,High school,Employed,Operatorius / Operator,24,6,2,Married,2019-08-27 00:00:00,1475,103,1372,0.1326,0,-
32278,2019-08-27,2019-08-28,2019-09-28,1,1,Grasilda,"""32278-Vartojimui",Other Purposes,B,0,3050,12,0.13,0.13,3050.0,282.3,0.0,0.0,0.0,ok,FR,Female,Šilutė,68,Post graduate,Employed,Mokytoja / Teacher,72 or more,40,0,Divorced,2019-08-27 00:00:00,1262,58,1204,0.2697,0,2015-10-02 00:00:00
32276,2019-08-27,2019-08-28,2019-09-28,1,3,53841996,"""32276-Vartojimo",Other Purposes,B,0,1310,24,0.13,0.13,0.0,1200.85,1200.85,0.0,0.0,ok,FR,Female,Plungė,40,Graduate,Employed,Vadybininkė / Manager,48,20,0,Divorced,2019-08-27 00:00:00,404,17,387,0.2069,0,-
32274,2019-08-27,2019-08-28,2019-09-28,1,1,darka11,"""32274-Automobilis",Car,D,0,2050,36,0.26,0.26,2050.0,93.43,0.0,0.0,0.0,ok,FR,Male,Vilniaus r.,24,High school,Employed,Santechnikas / Plumber,9,2,0,Single,2019-08-27 00:00:00,397,65,332,0.3991,0,2018-05-09 00:00:00
32272,2019-08-27,2019-08-28,2019-09-28,1,1,38891997,"""32272-Refinansavimas",Consolidation of Other Loans,C,0,4000,36,0.21,0.21,4000.0,167.19,0.0,0.0,0.0,ok,FR,Male,Alytus,27,High school,Employed,Pagalbinis darbininkas / Assitant worker,36,8,0,Single,2019-08-27 00:00:00,680,83,597,0.3679,0,2016-02-19 00:00:00
32268,2019-08-27,2019-08-30,2019-09-30,1,1,Valentas1,"""32268-Vartojimui",Other Purposes,B,0,1095,24,0.13,0.13,1095.0,55.65,0.0,0.0,0.0,ok,FR,Male,Šilutės r.,46,Vocational education,Employed,Stalius / Joiner,36,13,1,Married,2019-08-27 00:00:00,1176,165,1011,0.1876,0,2015-07-31 00:00:00
32257,2019-08-27,2019-08-28,2019-09-28,1,1,Tatjana2,"""32257-Paskolos refinansavimui",Consolidation of Other Loans,B,0,2020,24,0.13,0.13,2020.0,102.65,0.0,0.0,0.0,ok,FR,Female,Vilniaus r.,36,High school,Employed,Kasininkė / Cashier,24,8,3,Divorced,2019-08-27 00:00:00,498,62,436,0.3306,0,2015-06-15 00:00:00
32246,2019-08-27,2019-08-28,2019-09-28,1,1,vidosius,"""32246-Automobiliui",Car,A,0,3690,60,0.13,0.13,3690.0,95.23,0.0,0.0,0.0,ok,FR,Female,Kaunas,47,Graduate,Employed,Bendrosios praktikos slaugytoja /  Nurse,72 or more,24,2,Married,2019-08-27 00:00:00,674,112,562,0.3075,0,-
32226,2019-08-26,2019-08-30,2019-09-30,1,1,Renatuke,"""32226-Refinansavimui + vartojimui",Consolidation of Other Loans,B,0,4600,60,0.17,0.17,4600.0,131.91,0.0,0.0,0.0,ok,FR,Female,Alytus,52,Vocational education,Employed,Baldų gamintoja / Furniture producer,72 or more,20,0,Married,2019-08-26 00:00:00,670,0,670,0.1969,0,2017-12-20 00:00:00
